"180","000600.SZ","建投能源","122.6906","公用事业","公用事业","电力","电力","179162.64"
"181","000601.SZ","韶能股份","49.7486","公用事业","公用事业","电力","电力","108055.17"
"182","000603.SZ","盛达矿业","77.7181","材料","材料","金属、非金属与采矿","金属非金属","68996.93"
"183","000605.SZ","渤海股份","37.4523","公用事业","公用事业","水务","水务","35265.86"
"184","000606.SZ","顺利办","56.9755","信息技术","软件与服务","互联网软件与服务","互联网软件与服务","76579.94"
"185","000607.SZ","华媒控股","53.0831","可选消费","媒体","媒体","出版","101769.84"
"186","000608.SZ","阳光股份","44.4249","房地产","房地产","房地产管理和开发","房地产开发","74991.33"
"187","000609.SZ","中迪投资","18.4288","房地产","房地产","房地产管理和开发","房地产开发","29926.55"
"188","000610.SZ","西安旅游","20.3793","可选消费","消费者服务","酒店、餐馆与休闲","酒店、度假村与豪华游轮","23674.79"
"189","000611.SZ","天首发展","16.2560","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","纺织品","33782.20"
"190","000612.SZ","焦作万方","59.4192","材料","材料","金属、非金属与采矿","铝","119219.94"
"191","000613.SZ","大东海A","26.6667","可选消费","消费者服务","酒店、餐馆与休闲","酒店、度假村与豪华游轮","36410.00"
"192","000615.SZ","京汉股份","46.3900","房地产","房地产","房地产管理和开发","房地产开发","78340.60"
"193","000616.SZ","海航投资","51.7459","房地产","房地产","房地产管理和开发","房地产开发","143023.44"
"194","000617.SZ","中油资本","1224.8369","金融","多元金融","资本市场","多元资本市场","903005.62"
"195","000619.SZ","海螺型材","22.0176","工业","资本货物","建筑产品","建筑产品","36000.00"
"196","000620.SZ","新华联","88.1961","房地产","房地产","房地产管理和开发","房地产开发","189669.05"
"197","000622.SZ","恒立实业","33.5503","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","42522.60"
"198","000623.SZ","吉林敖东","216.6256","医疗保健","制药、生物科技与生命科学","制药","中药","116277.82"
"199","000625.SZ","长安汽车","420.6160","可选消费","汽车与汽车零部件","汽车","汽车制造","480264.84"
"200","000626.SZ","远大控股","47.3056","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","55006.55"
"201","000627.SZ","天茂集团","364.8161","金融","保险","保险","人寿与健康保险","494062.91"
"202","000628.SZ","高新发展","34.3313","工业","资本货物","建筑与工程","建筑与工程","31148.00"
"203","000629.SZ","攀钢钒钛","323.6616","材料","材料","金属、非金属与采矿","金属非金属","858974.62"
"204","000630.SZ","铜陵有色","266.1108","材料","材料","金属、非金属与采矿","金属非金属","1052653.38"
"205","000631.SZ","顺发恒业","86.0139","房地产","房地产","房地产管理和开发","房地产开发","243251.92"
"206","000632.SZ","三木集团","21.3673","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","46551.96"
"207","000633.SZ","合金投资","23.8073","材料","材料","金属、非金属与采矿","金属非金属","38510.64"
"208","000635.SZ","英力特","28.8236","材料","材料","化工","基础化工","30308.76"
"209","000636.SZ","风华高科","133.3181","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","89523.31"
"210","000637.SZ","茂化实华","24.2990","材料","材料","化工","基础化工","51987.54"
"211","000638.SZ","万方发展","19.5912","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","30940.00"
"212","000639.SZ","西王食品","67.3872","日常消费","食品、饮料与烟草","食品","食品加工与肉类","77102.01"
"213","000650.SZ","仁和药业","78.6098","医疗保健","制药、生物科技与生命科学","制药","中药","123834.01"
"214","000651.SZ","格力电器","2794.9087","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","601573.06"
"215","000652.SZ","泰达股份","61.2658","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","147557.39"
"216","000655.SZ","*ST金岭","28.3620","材料","材料","金属、非金属与采矿","金属非金属","59534.02"
"217","000656.SZ","金科股份","334.1594","房地产","房地产","房地产管理和开发","房地产开发","533971.56"
"218","000657.SZ","中钨高新","57.8941","材料","材料","金属、非金属与采矿","金属非金属","88011.65"
"219","000659.SZ","珠海中富","50.1681","材料","材料","容器与包装","金属与玻璃容器","128570.25"
"220","000661.SZ","长春高新","392.2313","医疗保健","制药、生物科技与生命科学","生物科技","生物科技","17011.23"
"221","000662.SZ","天夏智慧","74.2432","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","109309.77"
"222","000663.SZ","永安林业","22.6485","可选消费","耐用消费品与服装","家庭耐用消费品","家庭装饰品","34098.87"
"223","000665.SZ","湖北广电","58.5702","可选消费","媒体","媒体","有线和卫星电视","63621.74"
"224","000666.SZ","经纬纺机","104.2676","工业","资本货物","综合类","综合类行业","70413.00"
"225","000667.SZ","美好置业","72.7436","房地产","房地产","房地产管理和开发","房地产开发","255959.23"
"226","000668.SZ","荣丰控股","18.5667","房地产","房地产","房地产管理和开发","房地产开发","14684.19"
"227","000669.SZ","金鸿控股","40.6340","公用事业","公用事业","燃气","燃气","68040.88"
"228","000670.SZ","盈方微","35.0823","信息技术","半导体与半导体生产设备","半导体产品与半导体设备","半导体产品","81662.74"
"229","000671.SZ","阳光城","301.7305","房地产","房地产","房地产管理和开发","房地产开发","405007.34"
"230","000672.SZ","上峰水泥","83.0218","材料","材料","建材","建材","81361.99"
"231","000673.SZ","当代东方","41.9363","可选消费","媒体","媒体","电影与娱乐","79155.04"
"232","000676.SZ","智度股份","112.7100","信息技术","软件与服务","互联网软件与服务","互联网软件与服务","96571.08"
"233","000677.SZ","恒天海龙","30.6021","材料","材料","化工","化纤","86397.79"
"234","000678.SZ","襄阳轴承","34.4249","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","45961.18"
"235","000679.SZ","大连友谊","16.8862","可选消费","零售业","多元化零售","百货商店","35640.00"
"236","000680.SZ","山推股份","50.0037","工业","资本货物","机械","建筑机械与重型卡车","124078.76"
"237","000681.SZ","视觉中国","194.4243","可选消费","媒体","媒体","电影与娱乐","70057.74"
"238","000682.SZ","东方电子","59.7160","工业","资本货物","电气设备","电气部件与设备","134072.70"
"239","000683.SZ","远兴能源","115.2434","材料","材料","化工","基础化工","397665.31"
"240","000685.SZ","中山公用","128.9247","公用事业","公用事业","水务","水务","147511.14"
"241","000686.SZ","东北证券","216.5855","金融","多元金融","资本市场","投资银行业与经纪业","234045.30"
"242","000687.SZ","华讯方舟","63.7171","工业","资本货物","航空航天与国防","航天航空与国防","76619.94"
"243","000688.SZ","国城矿业","147.5305","材料","材料","金属、非金属与采矿","金属非金属","113729.93"
"244","000690.SZ","宝新能源","164.0619","公用事业","公用事业","电力","电力","217588.80"
"245","000691.SZ","亚太实业","15.6980","房地产","房地产","房地产管理和开发","房地产开发","32327.00"
"246","000692.SZ","惠天热电","17.6261","公用事业","公用事业","复合型公用事业","复合型公用事业","53283.30"
