date,商业银行,房地产管理和开发,制药,商业服务与用品,机械,综合类,建筑与工程,建材,家庭耐用消费品,休闲设备与用品,饮料,电脑与外围设备,专营零售,纺织品、服装与奢侈品,电力,医疗保健提供商与服务,汽车零配件,电子设备、仪器和元件,媒体,独立电力生产商与能源贸易商,食品,电气设备,石油、天然气与供消费用燃料,金属、非金属与采矿,食品与主要用品零售,通信设备,酒店、餐馆与休闲,交通基础设施,航空,贸易公司与工业品经销商,资本市场,化工,生物科技,燃气,多元金融服务,多元化零售,纸与林木产品,互联网软件与服务,航空航天与国防,海运,家庭用品,综合消费者服务,水务,汽车,信息技术服务,公路与铁路运输,建筑产品,保险,容器与包装,半导体产品与半导体设备,复合型公用事业,专业服务,软件,能源设备与服务,航空货运与物流,互联网与售货目录零售,医疗保健设备与用品,消费品经销商,多元电信服务,个人用品,生命科学工具和服务
19910314,0,-0.4895,0.0,-0.4749,0,0,0,0,0.5028,0,0,0,-0.5222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.500472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910315,0,-0.4919,0.0,-0.4772,0,-0.5882,0,0,0.5003,0,0,0,-0.5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047018,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0
19910318,0,-0.9887,0.0,-0.9589,0,-0.5917,0,0,-0.4978,0,0,0,-0.5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047009,0,0,0,0,0,0,0,0.5098,0,0,0,0,0,0,0,0
19910319,0,-0.4993,0.0,0,0,-0.5952,0,0,-0.5003,0,0,0,-0.5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910320,0,-0.5018,0.0,0,0,-0.5988,0,0,-1.9582,0,0,0,-0.5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.503797,0,0,0,0,0,0,0,1.0144,0,0,0,0,0,0,0,0
19910321,0,-0.5043,0.0,0,0,-0.4016,0,0,-0.5128,0,0,0,-0.5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.494773,0,0,0,0,0,0,0,0.5021,0,0,0,0,0,0,0,0
19910322,0,-0.5069,0.0,0,0,0,0,0,-0.4883,0,0,0,-0.5391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.497218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910325,0,-1.0189,0.0,-0.9873,0,0,0,0,-0.4907,0,0,0,-0.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.499764,0,0,0,0,0,0,0,0.4996,0,0,0,0,0,0,0,0
19910326,0,-0.5147,0.0,-0.4986,0,0,0,0,0.0274,0,0,0,-0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.502209,0,0,0,0,0,0,0,0.4971,0,0,0,0,0,0,0,0
19910327,0,-0.5174,0.0,0,0,0,0,0,-0.493,0,0,0,-0.5479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.504754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910328,0,-0.5201,0.0,0,0,-0.4032,0,0,-0.4955,0,0,0,-0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.496165,0,0,0,0,0,0,0,0.4946,0,0,0,0,0,0,0,0
19910329,0,-1.5683,0.0,-1.5184,0,0,0,0,0.4979,0,0,0,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498674,0,0,0,0,0,0,0,0.4922,0,0,0,0,0,0,0,0
19910401,0,0,0,0,0,-0.4049,0,0,0.4955,0,0,0,0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501129,0,0,0,0,0,0,0,0.4898,0,0,0,0,0,0,0,0
19910402,0,-0.5311,0.0,-0.514,0,-0.4065,0,0,0.493,0,0,0,0.5479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910403,-20.3122,-0.5339,0.0,-0.5166,0,0,0,0,0.4906,0,0,0,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910404,-0.4898,-0.5368,0.0,-0.5193,0,-0.4082,0,0,0.4882,0,0,0,0.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910405,-0.4922,-0.4626,0,-0.522,0,0,0,0,-0.4858,0,0,0,0.5391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.323229,0,0,0,0,0,0,0,0.9748,0,0,0,0,0,0,0,0
19910408,-0.4971,-0.4669,0.0,-0.5275,0,0,0,0,-0.4882,0,0,0,0.5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.494644,0,0,0,0,0,0,0,0.4827,0,0,0,0,0,0,0,0
19910409,-0.4996,-0.4691,0,-0.5303,0,0,0,0,-0.4906,0,0,0,-0.5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.497099,0,0,0,0,0,0,0,0.4804,0,0,0,0,0,0,0,0
19910410,-0.5021,-0.4713,0.0,0,0,-0.4132,0,0,-0.493,0,0,0,-0.5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49961,0,0,0,0,0,0,0,0.5179,0,0,0,0,0,0,0,0
